fuzzer,target,branch_id,n_resolved,n_blocked,n_reached,n_trials
aflplusplus,curl,3894,10,0,10,10
aflplusplus,curl,3895,10,0,10,10
aflplusplus,curl,76,0,10,10,10
aflplusplus,curl,77,7,3,10,10
aflplusplus,curl,78,10,0,10,10
aflplusplus,curl,79,6,4,10,10
aflplusplus,curl,80,10,0,10,10
aflplusplus,curl,4543,10,0,10,10
aflplusplus,curl,1047,10,0,10,10
aflplusplus,curl,81,10,0,10,10
aflplusplus,curl,4546,7,3,10,10
aflplusplus,curl,4547,10,0,10,10
aflplusplus,curl,82,10,0,10,10
aflplusplus,curl,1049,10,0,10,10
aflplusplus,curl,4549,10,0,10,10
aflplusplus,curl,1051,10,0,10,10
aflplusplus,curl,83,10,0,10,10
aflplusplus,curl,84,10,0,10,10
aflplusplus,curl,85,10,0,10,10
aflplusplus,curl,86,10,0,10,10
aflplusplus,curl,87,10,0,10,10
aflplusplus,curl,4556,10,0,10,10
aflplusplus,curl,88,10,0,10,10
aflplusplus,curl,89,0,10,10,10
aflplusplus,curl,90,3,7,10,10
aflplusplus,curl,91,10,0,10,10
aflplusplus,curl,92,1,9,10,10
aflplusplus,curl,93,8,2,10,10
aflplusplus,curl,94,4,6,10,10
aflplusplus,curl,1062,9,1,10,10
aflplusplus,curl,95,8,2,10,10
aflplusplus,curl,96,8,2,10,10
aflplusplus,curl,97,8,2,10,10
aflplusplus,curl,98,8,2,10,10
aflplusplus,curl,1067,8,2,10,10
aflplusplus,curl,99,7,3,10,10
aflplusplus,curl,100,10,0,10,10
aflplusplus,curl,101,8,2,10,10
aflplusplus,curl,102,6,4,10,10
aflplusplus,curl,1072,5,1,6,10
aflplusplus,curl,3908,6,0,6,10
aflplusplus,curl,103,5,5,10,10
aflplusplus,curl,104,6,4,10,10
aflplusplus,curl,105,7,3,10,10
aflplusplus,curl,106,10,0,10,10
aflplusplus,curl,107,8,2,10,10
aflplusplus,curl,108,6,4,10,10
aflplusplus,curl,109,6,4,10,10
aflplusplus,curl,3569,6,0,6,10
aflplusplus,curl,3568,2,4,6,10
aflplusplus,curl,110,10,0,10,10
aflplusplus,curl,3571,4,6,10,10
aflplusplus,curl,111,7,3,10,10
aflplusplus,curl,112,10,0,10,10
aflplusplus,curl,113,9,1,10,10
aflplusplus,curl,114,7,3,10,10
aflplusplus,curl,3577,7,0,7,10
aflplusplus,curl,1084,6,1,7,10
aflplusplus,curl,3924,1,5,6,10
aflplusplus,curl,115,8,2,10,10
aflplusplus,curl,116,7,3,10,10
aflplusplus,curl,117,10,0,10,10
aflplusplus,curl,118,10,0,10,10
aflplusplus,curl,119,10,0,10,10
aflplusplus,curl,120,8,2,10,10
aflplusplus,curl,655,9,1,10,10
aflplusplus,curl,1091,4,6,10,10
aflplusplus,curl,121,7,3,10,10
aflplusplus,curl,122,0,10,10,10
aflplusplus,curl,3009,10,0,10,10
aflplusplus,curl,3280,10,0,10,10
aflplusplus,curl,3281,10,0,10,10
aflplusplus,curl,123,9,1,10,10
aflplusplus,curl,656,6,4,10,10
aflplusplus,curl,124,3,7,10,10
aflplusplus,curl,659,6,4,10,10
aflplusplus,curl,660,6,4,10,10
aflplusplus,curl,125,3,7,10,10
aflplusplus,curl,126,10,0,10,10
aflplusplus,curl,127,9,1,10,10
aflplusplus,curl,3584,3,7,10,10
aflplusplus,curl,128,7,3,10,10
aflplusplus,curl,663,6,4,10,10
aflplusplus,curl,3289,10,0,10,10
aflplusplus,curl,664,9,1,10,10
aflplusplus,curl,129,10,0,10,10
aflplusplus,curl,130,9,1,10,10
aflplusplus,curl,131,8,2,10,10
aflplusplus,curl,133,6,2,8,10
aflplusplus,curl,132,7,1,8,10
aflplusplus,curl,3588,10,0,10,10
aflplusplus,curl,134,8,2,10,10
aflplusplus,curl,135,6,4,10,10
aflplusplus,curl,136,6,4,10,10
aflplusplus,curl,137,4,6,10,10
aflplusplus,curl,138,4,6,10,10
aflplusplus,curl,139,6,4,10,10
aflplusplus,curl,141,10,0,10,10
aflplusplus,curl,2748,9,1,10,10
aflplusplus,curl,1107,2,7,9,10
aflplusplus,curl,142,3,6,9,10
aflplusplus,curl,143,7,2,9,10
aflplusplus,curl,2749,9,1,10,10
aflplusplus,curl,3594,3,7,10,10
aflplusplus,curl,144,9,1,10,10
aflplusplus,curl,1110,3,7,10,10
aflplusplus,curl,3596,3,7,10,10
aflplusplus,curl,1111,4,6,10,10
aflplusplus,curl,145,8,2,10,10
aflplusplus,curl,1113,3,7,10,10
aflplusplus,curl,146,8,2,10,10
aflplusplus,curl,1115,3,7,10,10
aflplusplus,curl,1116,6,4,10,10
aflplusplus,curl,147,6,4,10,10
aflplusplus,curl,148,5,5,10,10
aflplusplus,curl,149,0,10,10,10
aflplusplus,curl,1120,8,2,10,10
aflplusplus,curl,1121,8,2,10,10
aflplusplus,curl,1122,4,6,10,10
aflplusplus,curl,150,8,2,10,10
aflplusplus,curl,151,3,7,10,10
aflplusplus,curl,1124,4,6,10,10
aflplusplus,curl,4626,4,6,10,10
aflplusplus,curl,152,5,5,10,10
aflplusplus,curl,153,0,10,10,10
aflplusplus,curl,154,8,2,10,10
aflplusplus,curl,155,8,2,10,10
aflplusplus,curl,156,7,3,10,10
aflplusplus,curl,1128,0,9,9,10
aflplusplus,curl,157,3,6,9,10
aflplusplus,curl,159,3,0,3,10
aflplusplus,curl,158,2,1,3,10
aflplusplus,curl,160,7,1,8,10
aflplusplus,curl,1133,1,7,8,10
aflplusplus,curl,1134,1,7,8,10
aflplusplus,curl,161,5,5,10,10
aflplusplus,curl,162,9,1,10,10
aflplusplus,curl,163,8,2,10,10
aflplusplus,curl,164,1,6,7,10
aflplusplus,curl,165,10,0,10,10
aflplusplus,curl,166,10,0,10,10
aflplusplus,curl,677,10,0,10,10
aflplusplus,curl,3028,10,0,10,10
aflplusplus,curl,167,7,3,10,10
aflplusplus,curl,168,0,10,10,10
aflplusplus,curl,3307,8,1,9,10
aflplusplus,curl,169,7,2,9,10
aflplusplus,curl,171,6,2,8,10
aflplusplus,curl,170,8,0,8,10
aflplusplus,curl,172,8,2,10,10
aflplusplus,curl,173,8,2,10,10
aflplusplus,curl,174,6,4,10,10
aflplusplus,curl,175,5,5,10,10
aflplusplus,curl,176,5,5,10,10
aflplusplus,curl,177,5,5,10,10
aflplusplus,curl,178,8,2,10,10
aflplusplus,curl,685,10,0,10,10
aflplusplus,curl,179,6,4,10,10
aflplusplus,curl,180,7,3,10,10
aflplusplus,curl,182,1,6,7,10
aflplusplus,curl,181,7,0,7,10
aflplusplus,curl,183,5,5,10,10
aflplusplus,curl,184,8,2,10,10
aflplusplus,curl,185,7,3,10,10
aflplusplus,curl,691,9,1,10,10
aflplusplus,curl,186,8,2,10,10
aflplusplus,curl,2769,9,1,10,10
aflplusplus,curl,187,3,6,9,10
aflplusplus,curl,188,8,2,10,10
aflplusplus,curl,1158,4,4,8,10
aflplusplus,curl,1159,10,0,10,10
aflplusplus,curl,189,5,3,8,10
aflplusplus,curl,190,8,2,10,10
aflplusplus,curl,191,10,0,10,10
aflplusplus,curl,3990,10,0,10,10
aflplusplus,curl,192,10,0,10,10
aflplusplus,curl,3992,10,0,10,10
aflplusplus,curl,1164,6,4,10,10
aflplusplus,curl,193,10,0,10,10
aflplusplus,curl,1166,10,0,10,10
aflplusplus,curl,194,6,4,10,10
aflplusplus,curl,1168,10,0,10,10
aflplusplus,curl,196,9,0,9,10
aflplusplus,curl,195,1,8,9,10
aflplusplus,curl,1172,10,0,10,10
aflplusplus,curl,1173,10,0,10,10
aflplusplus,curl,1174,9,1,10,10
aflplusplus,curl,197,1,9,10,10
aflplusplus,curl,4673,10,0,10,10
aflplusplus,curl,199,10,0,10,10
aflplusplus,curl,198,9,1,10,10
aflplusplus,curl,4677,6,4,10,10
aflplusplus,curl,200,10,0,10,10
aflplusplus,curl,1179,10,0,10,10
aflplusplus,curl,201,10,0,10,10
aflplusplus,curl,4682,10,0,10,10
aflplusplus,curl,202,10,0,10,10
aflplusplus,curl,4683,7,1,8,10
aflplusplus,curl,203,10,0,10,10
aflplusplus,curl,204,10,0,10,10
aflplusplus,curl,1184,5,5,10,10
aflplusplus,curl,205,10,0,10,10
aflplusplus,curl,3999,10,0,10,10
aflplusplus,curl,206,9,1,10,10
aflplusplus,curl,1187,10,0,10,10
aflplusplus,curl,4001,6,4,10,10
aflplusplus,curl,4002,6,4,10,10
aflplusplus,curl,4003,8,2,10,10
aflplusplus,curl,207,6,4,10,10
aflplusplus,curl,208,10,0,10,10
aflplusplus,curl,4005,10,0,10,10
aflplusplus,curl,4006,10,0,10,10
aflplusplus,curl,4007,10,0,10,10
aflplusplus,curl,4008,10,0,10,10
aflplusplus,curl,209,3,7,10,10
aflplusplus,curl,4009,10,0,10,10
aflplusplus,curl,210,10,0,10,10
aflplusplus,curl,211,9,1,10,10
aflplusplus,curl,212,10,0,10,10
aflplusplus,curl,213,10,0,10,10
aflplusplus,curl,4013,10,0,10,10
aflplusplus,curl,4014,8,2,10,10
aflplusplus,curl,4016,10,0,10,10
