target,A,B,delta_technique,n_A,n_B,mean_auc_A,mean_auc_B,delta_auc,p_auc,auc_dir,mean_final_A,mean_final_B,delta_final,p_final,final_dir,admissible
curl,cmplog,naive,I2S,10,10,77361660.0,63861960.0,13499700.0,0.0002,A>B,5898.4,4914.8,983.6,0.0002,A>B,True
curl,value_profile,naive,value_profile,10,10,65055480.0,63861960.0,1193520.0,0.0452,A>B,4933.8,4914.8,19.0,0.089,A>B,True
curl,value_profile_cmplog,cmplog,value_profile,10,10,79971960.0,77361660.0,2610300.0,0.0312,A>B,6114.4,5898.4,216.0,0.0493,A>B,True
curl,value_profile_cmplog,value_profile,I2S,10,10,79971960.0,65055480.0,14916480.0,0.0002,A>B,6114.4,4933.8,1180.6,0.0002,A>B,True
