target,branch_id,n_resolving,n_blocking,has_decisive
libpng,3833,1,40,1
libpng,5544,0,0,0
libpng,5810,0,0,0
libpng,5827,0,0,0
libpng,5947,0,0,0
libpng,5968,0,0,0
