target,A,B,delta_technique,n_A,n_B,mean_auc_A,mean_auc_B,delta_auc,p_auc,auc_dir,mean_final_A,mean_final_B,delta_final,p_final,final_dir,admissible
harfbuzz,cmplog,naive,I2S,10,10,63127350.0,54063270.0,9064080.0,0.0002,A>B,4920.3,4124.2,796.1,0.0002,A>B,True
harfbuzz,value_profile,naive,value_profile,10,10,55263570.0,54063270.0,1200300.0,0.0073,A>B,4228.1,4124.2,103.9,0.0051,A>B,True
harfbuzz,value_profile_cmplog,cmplog,value_profile,10,10,67596780.0,63127350.0,4469430.0,0.0046,A>B,5680.3,4920.3,760.0,0.0008,A>B,True
harfbuzz,value_profile_cmplog,value_profile,I2S,10,10,67596780.0,55263570.0,12333210.0,0.0002,A>B,5680.3,4228.1,1452.2,0.0002,A>B,True
