target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
bloaty,minimizer,3,24,3600,86400,73804,94426200.0,0.015452,1524
bloaty,minimizer,4,24,3600,86400,73804,91312200.0,0.014942,1146
bloaty,minimizer,5,24,3600,86400,73804,89589600.0,0.01466,1127
bloaty,minimizer,6,24,3600,86400,73804,93101400.0,0.015235,1125
bloaty,minimizer,7,24,3600,86400,73804,84843000.0,0.013884,1028
bloaty,minimizer,8,24,3600,86400,73804,85820400.0,0.014044,1074
bloaty,minimizer,9,24,3600,86400,73804,95830200.0,0.015682,1193
bloaty,minimizer,10,24,3600,86400,73804,82985400.0,0.01358,1029
bloaty,fast,1,24,3600,86400,73804,90813600.0,0.014861,1158
bloaty,fast,2,24,3600,86400,73804,87289200.0,0.014284,1093
bloaty,fast,3,24,3600,86400,73804,85843800.0,0.014047,1115
bloaty,fast,4,24,3600,86400,73804,90154800.0,0.014753,1212
bloaty,fast,5,24,3600,86400,73804,86464800.0,0.014149,1089
bloaty,fast,6,24,3600,86400,73804,88518600.0,0.014485,1137
bloaty,fast,7,24,3600,86400,73804,94449600.0,0.015456,1227
bloaty,fast,8,24,3600,86400,73804,88599600.0,0.014498,1096
bloaty,fast,9,24,3600,86400,73804,87105600.0,0.014254,1142
bloaty,fast,10,24,3600,86400,73804,86133600.0,0.014095,1081
bloaty,grimoire,1,24,3600,86400,73804,106162200.0,0.017372,1460
bloaty,grimoire,2,24,3600,86400,73804,100733400.0,0.016484,1356
bloaty,grimoire,3,24,3600,86400,73804,98053200.0,0.016045,1283
bloaty,grimoire,4,24,3600,86400,73804,90804600.0,0.014859,1155
bloaty,grimoire,5,24,3600,86400,73804,96649200.0,0.015816,1245
bloaty,grimoire,6,24,3600,86400,73804,124723800.0,0.02041,2015
bloaty,grimoire,7,24,3600,86400,73804,100207800.0,0.016398,1302
bloaty,grimoire,8,24,3600,86400,73804,134098200.0,0.021944,2039
bloaty,grimoire,9,24,3600,86400,73804,100134000.0,0.016386,1280
bloaty,grimoire,10,24,3600,86400,73804,98299800.0,0.016086,1264
lcms,naive,1,19,3600,68400,7526,81532800.0,0.167183,1261
lcms,naive,2,24,3600,86400,7526,104261400.0,0.167313,1260
lcms,naive,3,23,3600,82800,7526,99552600.0,0.167018,1257
lcms,naive,4,20,3600,72000,7526,85984200.0,0.167031,1258
lcms,naive,5,23,3600,82800,7526,99460800.0,0.166864,1256
lcms,naive,6,19,3600,68400,7526,81606600.0,0.167335,1260
lcms,naive,7,24,3600,86400,7526,103804200.0,0.166579,1256
lcms,naive,8,18,3600,64800,7526,77056200.0,0.167298,1260
lcms,naive,9,21,3600,75600,7526,90108000.0,0.16629,1252
lcms,naive,10,16,3600,57600,7526,67860000.0,0.166977,1257
lcms,cmplog,1,24,3600,86400,7526,142767000.0,0.229104,1883
lcms,cmplog,2,24,3600,86400,7526,126918000.0,0.203671,1538
lcms,cmplog,3,24,3600,86400,7526,125267400.0,0.201022,1519
lcms,cmplog,4,23,3600,82800,7526,109378800.0,0.183503,1401
lcms,cmplog,5,24,3600,86400,7526,111810600.0,0.179427,1412
lcms,cmplog,6,24,3600,86400,7526,124570800.0,0.199904,1513
lcms,cmplog,7,24,3600,86400,7526,157289400.0,0.252409,1954
lcms,cmplog,8,24,3600,86400,7526,116373600.0,0.18675,1411
lcms,cmplog,9,24,3600,86400,7526,130033800.0,0.208671,1860
lcms,cmplog,10,24,3600,86400,7526,115484400.0,0.185323,1406
lcms,value_profile,1,22,3600,79200,7526,101745000.0,0.178825,1357
lcms,value_profile,2,22,3600,79200,7526,99280800.0,0.174494,1336
lcms,value_profile,3,20,3600,72000,7526,90912600.0,0.176605,1337
lcms,value_profile,4,22,3600,79200,7526,99388800.0,0.174683,1341
lcms,value_profile,5,24,3600,86400,7526,106740000.0,0.17129,1312
lcms,value_profile,6,21,3600,75600,7526,96071400.0,0.177295,1344
lcms,value_profile,7,24,3600,86400,7526,110161800.0,0.176781,1337
lcms,value_profile,8,24,3600,86400,7526,108572400.0,0.174231,1340
lcms,value_profile,9,24,3600,86400,7526,109177200.0,0.175201,1332
lcms,value_profile,10,24,3600,86400,7526,109895400.0,0.176354,1342
