target,A,B,delta_technique,n_A,n_B,mean_auc_A,mean_auc_B,delta_auc,p_auc,auc_dir,mean_final_A,mean_final_B,delta_final,p_final,final_dir,admissible
openthread,cmplog,naive,I2S,10,10,41296950.0,38887500.0,2409450.0,0.0002,A>B,3023.7,2878.3,145.4,0.0002,A>B,True
openthread,value_profile,naive,value_profile,10,10,38837940.0,38887500.0,-49560.0,0.7913,B>A,2869.2,2878.3,-9.1,0.2892,B>A,False
openthread,value_profile_cmplog,cmplog,value_profile,10,10,41395620.0,41296950.0,98670.0,0.5205,A>B,3034.2,3023.7,10.5,0.2404,A>B,False
openthread,value_profile_cmplog,value_profile,I2S,10,10,41395620.0,38837940.0,2557680.0,0.0002,A>B,3034.2,2869.2,165.0,0.0002,A>B,True
