target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div,shape,region_id,group_size
harfbuzz,5474,/src/harfbuzz/src/hb-ot-layout-common.hh,"OT::FeatureParams::sanitize(hb_sanitize_context_t*, unsigned int) const",688,9,T,"    if (tag == HB_TAG ('s','i','z','e'))",1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":15.1,""hit_div"":4.9}]","[""cmplog"", ""value_profile_cmplog""]",0,0,10,1,9,0,0,0,10,9,1,0,,,,,,,,,,,,,,,,4,6,0,0.8,15.1,4.9,-B-R------,"/src/harfbuzz/src/hb-ot-layout-common.hh::OT::FeatureParams::sanitize(hb_sanitize_context_t*, unsigned int) const::L650-699",2
harfbuzz,5477,/src/harfbuzz/src/hb-ot-layout-common.hh,"OT::Feature::sanitize(hb_sanitize_context_t*, OT::Record_sanitize_closure_t const*) const",812,9,T,    if (featureParams == 0 && closure &&,1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":15.7,""hit_div"":3.8}]","[""cmplog"", ""value_profile_cmplog""]",0,0,10,1,9,0,0,0,10,9,1,0,,,,,,,,,,,,,,,,4,6,0,0.8,15.7,3.8,-B-R------,"/src/harfbuzz/src/hb-ot-layout-common.hh::OT::Feature::sanitize(hb_sanitize_context_t*, OT::Record_sanitize_closure_t const*) const::L800-849",1
harfbuzz,5564,/src/harfbuzz/src/hb-ot-layout.cc,hb_ot_layout_script_select_language2,775,7,T,"  if (s.find_lang_sys_index (HB_OT_TAG_DEFAULT_LANGUAGE, language_index))",1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":14.8,""hit_div"":4.7}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,6,4,0,0,10,0,8,2,0,,,,,,,,,,,,,,,,10,0,0,0.8,14.8,4.7,--BR------,/src/harfbuzz/src/hb-ot-layout.cc::hb_ot_layout_script_select_language2::L750-799,1
harfbuzz,5691,/src/harfbuzz/src/hb-ot-shape.cc,"hb-ot-shape.cc:_hb_apply_morx(hb_face_t*, hb_segment_properties_t const&)",59,10,T,  return hb_aat_layout_has_substitution (face) &&,1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":16.1,""hit_div"":3.9}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,5,5,0,0,10,0,8,2,0,,,,,,,,,,0,10,0,1,9,0,6,4,0,0.8,16.1,3.9,--BR------,"/src/harfbuzz/src/hb-ot-shape.cc::hb-ot-shape.cc:_hb_apply_morx(hb_face_t*, hb_segment_properties_t const&)::L50-99",1
harfbuzz,5692,/src/harfbuzz/src/hb-ot-shape.cc,"hb_ot_shape_planner_t::hb_ot_shape_planner_t(hb_face_t*, hb_segment_properties_t const&)",95,7,T,  if (apply_morx && shaper != &_hb_ot_shaper_default),1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":16.1,""hit_div"":3.9}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,5,5,0,0,10,0,8,2,0,,,,,,,,,,0,10,0,1,9,0,6,4,0,0.8,16.1,3.9,--BR------,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::hb_ot_shape_planner_t(hb_face_t*, hb_segment_properties_t const&)::L50-99",1
harfbuzz,5695,/src/harfbuzz/src/hb-ot-shape.cc,"hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)",154,19,F,  bool has_gsub = !apply_morx && hb_ot_layout_has_substitution (face);,1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":16.1,""hit_div"":3.9}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,5,5,0,0,10,0,8,2,0,,,,,,,,,,0,10,0,1,9,0,6,4,0,0.8,16.1,3.9,--BR------,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)::L150-199",1
harfbuzz,5728,/src/harfbuzz/src/hb-ot-shape.cc,hb-ot-shape.cc:hb_ot_substitute_pre(hb_ot_shape_context_t const*),931,7,T,  if (c->plan->apply_morx && c->plan->apply_gpos),1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":16.1,""hit_div"":46.5}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,5,5,0,0,10,0,8,2,0,,,,,,,,,,0,10,0,1,9,0,6,4,0,0.8,16.1,46.5,--BR------,/src/harfbuzz/src/hb-ot-shape.cc::hb-ot-shape.cc:hb_ot_substitute_pre(hb_ot_shape_context_t const*)::L900-949,1
harfbuzz,5730,/src/harfbuzz/src/hb-ot-shape.cc,hb-ot-shape.cc:hb_ot_substitute_post(hb_ot_shape_context_t const*),940,7,T,  if (c->plan->apply_morx && !c->plan->apply_gpos),1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":16.1,""hit_div"":46.5}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,5,5,0,0,10,0,8,2,0,,,,,,,,,,0,10,0,1,9,0,6,4,0,0.8,16.1,46.5,--BR------,/src/harfbuzz/src/hb-ot-shape.cc::hb-ot-shape.cc:hb_ot_substitute_post(hb_ot_shape_context_t const*)::L900-949,1
harfbuzz,5736,/src/harfbuzz/src/hb-ot-shape.cc,hb-ot-shape.cc:hb_ot_position_plan(hb_ot_shape_context_t const*),1082,7,T,  if (c->plan->apply_morx),1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":16.1,""hit_div"":46.5}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,5,5,0,0,10,0,8,2,0,,,,,,,,,,0,10,0,1,9,0,6,4,0,0.8,16.1,46.5,--BR------,/src/harfbuzz/src/hb-ot-shape.cc::hb-ot-shape.cc:hb_ot_position_plan(hb_ot_shape_context_t const*)::L1050-1099,1
harfbuzz,5827,/src/harfbuzz/src/hb-ot-shaper-indic.cc,"indic_shape_plan_t::load_virama_glyph(hb_font_t*, unsigned int*) const",282,30,F,"      if (!config->virama || !font->get_nominal_glyph (config->virama, &glyph))",1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":9.7,""hit_div"":4.3}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,3,7,0,0,10,0,8,2,0,,,,,,,,,,,,,,,,7,3,0,0.8,9.7,4.3,--BR------,"/src/harfbuzz/src/hb-ot-shaper-indic.cc::indic_shape_plan_t::load_virama_glyph(hb_font_t*, unsigned int*) const::L250-299",1
