target,A,B,delta_technique,n_A,n_B,mean_auc_A,mean_auc_B,delta_auc,p_auc,auc_dir,mean_final_A,mean_final_B,delta_final,p_final,final_dir,admissible
libpng,cmplog,naive,I2S,10,10,23407110.0,19423740.0,3983370.0,0.0002,A>B,1739.0,1429.2,309.8,0.0002,A>B,True
libpng,value_profile,naive,value_profile,10,10,22607850.0,19423740.0,3184110.0,0.0002,A>B,1696.9,1429.2,267.7,0.0002,A>B,True
libpng,value_profile_cmplog,cmplog,value_profile,10,10,25133880.0,23407110.0,1726770.0,0.0008,A>B,1866.6,1739.0,127.6,0.0003,A>B,True
libpng,value_profile_cmplog,value_profile,I2S,10,10,25133880.0,22607850.0,2526030.0,0.0004,A>B,1866.6,1696.9,169.7,0.0004,A>B,True
