label,target,branch_id,winner_fuzzer,loser_fuzzer,signed_target_enrich,decoy_enrich,anti_score,cmplog_target_frac,naive_target_frac,cmplog_decoy_frac,naive_decoy_frac,gate_width,gate_offsets,n_w_seeds,n_l_seeds,cmplog_corpus_n,naive_corpus_n,skip
ww_l,libpng,3811,value_profile,naive,0.355,-17.582,-17.936,0.82538,0.69544,0.00049,0.19547,20,25 74 76 77 81 82 83 84 85 86 87 88 89 90 91 94 96 121 134 185,24,10,6164,4516,
ww_l,libpng,3818,value_profile,naive,2.568,-9.199,-11.767,0.46215,0.36084,0.42217,0.56244,2,47 87,20,10,6154,4516,
ww_l,libpng,3864,value_profile,naive,6.017,-17.582,-23.599,0.80954,0.69021,0.00049,0.19301,18,25 74 76 77 81 86 87 88 89 90 91 92 93 94 96 121 134 185,30,10,6164,4516,
ww_l,libpng,3890,value_profile,naive,0.355,-17.582,-17.936,0.82538,0.69544,0.00049,0.19547,20,25 74 76 77 81 82 83 84 85 86 87 88 89 90 91 94 96 121 134 185,25,10,6164,4516,
ww_l,libpng,3951,value_profile,naive,6.017,-17.582,-23.599,0.80954,0.69021,0.00049,0.19301,18,25 74 76 77 81 86 87 88 89 90 91 92 93 94 96 121 134 185,30,10,6164,4516,
ww_l,libpng,4085,value_profile,naive,6.017,-17.582,-23.599,0.80954,0.69021,0.00049,0.19301,18,25 74 76 77 81 86 87 88 89 90 91 92 93 94 96 121 134 185,30,10,6164,4516,
ww_l,libxml2,6785,value_profile,naive,,,,,,,,,,3,10,,,no_gate_signature
