target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div,shape,region_id,group_size
curl,353,/src/curl/lib/progress.c,Curl_pgrsSetDownloadSize,354,6,T,  if(size >= 0) {,1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":15.0,""hit_div"":2.4}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,7,3,0,0,10,0,9,1,0,,,,,,,,,,0,10,0,1,9,0,7,3,0,0.9,15.0,2.4,--BR------,/src/curl/lib/progress.c::Curl_pgrsSetDownloadSize::L350-399,1
curl,527,/src/curl/lib/urlapi.c,urlapi.c:hostname_check,600,12,T,"        if(!strncmp(h, ""25"", 2) && h[2] && (h[2] != ']'))",1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8889,""dur_div"":15.92,""hit_div"":1.7}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,2,6,2,0,10,0,8,1,1,,,,1,9,0,,,,1,8,1,0,10,0,3,6,1,0.8889,15.92,1.7,--BR------,/src/curl/lib/urlapi.c::urlapi.c:hostname_check::L600-649,1
curl,152,/src/curl/lib/http.c,Curl_http_bodysend,2615,8,F,"    if(!Curl_checkheaders(data, STRCONST(""Content-Type""))) {",1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":8.4,""hit_div"":1.7}]","[""cmplog"", ""naive""]",0,10,0,8,2,0,0,10,0,7,3,0,,,,,,,,,,,,,,,,4,6,0,0.8,8.4,1.7,BR--------,/src/curl/lib/http.c::Curl_http_bodysend::L2600-2649,1
curl,263,/src/curl/lib/mime.c,mime.c:escape_string,321,26,F,    for(p = table; *p && **p != *src; p++),1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":8.8,""hit_div"":34.5}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,4,6,0,1,9,0,9,1,0,,,,1,9,0,,,,2,8,0,4,6,0,8,2,0,0.8,8.8,34.5,--BR------,/src/curl/lib/mime.c::mime.c:escape_string::L300-349,2
curl,68,/src/curl/lib/fopen.c,Curl_fopen,59,6,T,"  if(stat(filename, &sb) == -1 || !S_ISREG(sb.st_mode)) {",1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":9,""prob_div"":0.7,""dur_div"":11.9,""hit_div"":0.7}]","[""cmplog"", ""naive""]",1,9,0,8,2,0,4,6,0,4,6,0,10,0,0,3,7,0,1,9,0,2,8,0,3,7,0,6,4,0,0.7,11.9,0.7,BR--------,/src/curl/lib/fopen.c::Curl_fopen::L50-99,1
