target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,max_prob_div,max_dur_div,max_hit_div,shape,region_id,group_size
curl,224,/src/curl/lib/mime.c,mime.c:search_header,350,9,F,  for(; !value && hdrlist; hdrlist = hdrlist->next),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":6.85,""hit_div"":3.1},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":7.05,""hit_div"":7.3}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,0,10,0,9,1,0,1.0,7.05,7.3,BRBR,/src/curl/lib/mime.c::mime.c:search_header::L350-399,1
curl,234,/src/curl/lib/mime.c,Curl_mime_prepare_headers,1792,6,T,  if(customct),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":6.85,""hit_div"":3.1},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":7.05,""hit_div"":7.2}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,0,10,0,9,1,0,1.0,7.05,7.2,BRBR,/src/curl/lib/mime.c::Curl_mime_prepare_headers::L1750-1799,1
curl,238,/src/curl/lib/mime.c,Curl_mime_prepare_headers,1830,23,T,"    if(disposition && curl_strequal(disposition, ""attachment"") &&",2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":6.85,""hit_div"":6.5},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":7.05,""hit_div"":9.0}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,0,10,0,9,1,0,1.0,7.05,9.0,BRBR,/src/curl/lib/mime.c::Curl_mime_prepare_headers::L1800-1849,4
curl,240,/src/curl/lib/mime.c,Curl_mime_prepare_headers,1897,8,F,"    if(content_type_match(contenttype, STRCONST(""multipart/form-data"")))",2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":6.85,""hit_div"":4.4},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":7.05,""hit_div"":7.2}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,0,10,0,9,1,0,1.0,7.05,7.2,BRBR,/src/curl/lib/mime.c::Curl_mime_prepare_headers::L1850-1899,1
curl,252,/src/curl/lib/multi.c,multi.c:multi_done,654,8,T,    if(!result && rc),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":11.05,""hit_div"":547.0},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.7,""hit_div"":624.3}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",1,9,0,10,0,0,0,10,0,10,0,0,1.0,11.7,624.3,BRBR,/src/curl/lib/multi.c::multi.c:multi_done::L650-699,1
curl,366,/src/curl/lib/strerror.c,curl_url_strerror,529,3,T,  case CURLUE_BAD_FILE_URL:,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":9.6,""hit_div"":7.3},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.4,""hit_div"":10.9}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",2,8,0,10,0,0,0,10,0,10,0,0,1.0,11.4,10.9,BRBR,/src/curl/lib/strerror.c::curl_url_strerror::L500-549,1
curl,378,/src/curl/lib/transfer.c,transfer.c:readwrite_data,585,8,F,    if(!k->bytecount) {,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.55,""hit_div"":84.1},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.4,""hit_div"":106.2}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,0,10,0,10,0,0,1.0,11.55,106.2,BRBR,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L550-599,3
curl,382,/src/curl/lib/transfer.c,transfer.c:readwrite_data,630,8,F,    if(k->header) {,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":9.9,""hit_div"":15.1},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":8.55,""hit_div"":5.5}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,0,10,0,9,1,0,1.0,9.9,15.1,BRBR,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L600-649,1
curl,386,/src/curl/lib/transfer.c,transfer.c:readwrite_data,666,8,T,    if(!k->header && (nread > 0 || is_empty_data)) {,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.55,""hit_div"":130.6},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.45,""hit_div"":137.5}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,0,10,0,10,0,0,1.0,11.55,137.5,BRBR,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L650-699,1
curl,422,/src/curl/lib/transfer.c,Curl_retry_request,1866,6,F,  if((data->req.bytecount + data->req.headerbytecount == 0) &&,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.65,""hit_div"":544.7},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.7,""hit_div"":621.9}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,0,10,0,10,0,0,1.0,11.7,621.9,BRBR,/src/curl/lib/transfer.c::Curl_retry_request::L1850-1899,1
