target,branch_id,rep_branch_id,shape,region_id,group_size,is_rep
harfbuzz,9122,9122,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::accelerator_t<OT::Layout::GPOS>::accelerator_t(hb_face_t*)::L4450-4499,1,1
harfbuzz,9123,9123,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::accelerator_t<OT::Layout::GPOS>::~accelerator_t()::L4450-4499,1,1
harfbuzz,9124,9124,BRBR,/src/harfbuzz/src/hb-ot-layout.cc::hb_ot_layout_table_select_script::L550-599,3,1
harfbuzz,9125,9124,BRBR,/src/harfbuzz/src/hb-ot-layout.cc::hb_ot_layout_table_select_script::L550-599,3,0
harfbuzz,9127,9124,BRBR,/src/harfbuzz/src/hb-ot-layout.cc::hb_ot_layout_table_select_script::L550-599,3,0
harfbuzz,9130,9130,BRBR,/src/harfbuzz/src/hb-ot-layout.cc::hb_ot_layout_get_size_params::L1650-1699,1,1
harfbuzz,9231,9231,BRBR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)::L100-149",1,1
harfbuzz,9233,9234,BRBR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)::L150-199",5,0
harfbuzz,9234,9234,BRBR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)::L150-199",5,1
harfbuzz,9236,9234,BRBR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)::L150-199",5,0
harfbuzz,9239,9234,BRBR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)::L150-199",5,0
harfbuzz,9245,9234,BRBR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)::L150-199",5,0
harfbuzz,9252,9252,BRBR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_plan_t::position(hb_font_t*, hb_buffer_t*) const::L250-299",1,1
harfbuzz,9262,9262,BRBR,/src/harfbuzz/src/hb-ot-shape.cc::hb-ot-shape.cc:hb_ot_substitute_plan(hb_ot_shape_context_t const*)::L900-949,1,1
harfbuzz,9775,9775,BRBR,"/src/harfbuzz/src/hb-sanitize.hh::hb_sanitize_context_t::check_range(void const*, unsigned int) const::L200-249",2,1
harfbuzz,9776,9775,BRBR,"/src/harfbuzz/src/hb-sanitize.hh::hb_sanitize_context_t::check_range(void const*, unsigned int) const::L200-249",2,0
harfbuzz,10652,10652,-BBR,"/src/harfbuzz/src/hb-ot-cff2-table.hh::OT::cff2::accelerator_templ_t<CFF::cff2_private_dict_opset_t, CFF::cff2_private_dict_values_base_t<CFF::dict_val_t> >::accelerator_templ_t(hb_face_t*)::L400-449",1,1
harfbuzz,8984,8984,-BBR,"/src/harfbuzz/src/hb-ot-cff1-table.hh::OT::cff1::accelerator_templ_t<CFF::cff1_private_dict_opset_t, CFF::cff1_private_dict_values_base_t<CFF::dict_val_t> >::init(hb_face_t*)::L1050-1099",1,1
harfbuzz,9080,9084,BRBR,"/src/harfbuzz/src/hb-ot-layout-common.hh::OT::Device::get_y_delta(hb_font_t*, OT::VariationStore const&, float*) const::L3550-3599",3,0
harfbuzz,9081,9084,BRBR,"/src/harfbuzz/src/hb-ot-layout-common.hh::OT::Device::get_y_delta(hb_font_t*, OT::VariationStore const&, float*) const::L3550-3599",3,0
harfbuzz,9084,9084,BRBR,"/src/harfbuzz/src/hb-ot-layout-common.hh::OT::Device::get_y_delta(hb_font_t*, OT::VariationStore const&, float*) const::L3550-3599",3,1
harfbuzz,9129,9129,BRBR,/src/harfbuzz/src/hb-ot-layout.cc::hb_ot_layout_language_find_feature::L1000-1049,1,1
harfbuzz,9463,9463,RBRB,"/src/harfbuzz/src/hb-ot-shaper-myanmar.cc::hb-ot-shaper-myanmar.cc:initial_reordering_consonant_syllable(hb_buffer_t*, unsigned int, unsigned int)::L200-249",2,1
harfbuzz,9464,9463,RBRB,"/src/harfbuzz/src/hb-ot-shaper-myanmar.cc::hb-ot-shaper-myanmar.cc:initial_reordering_consonant_syllable(hb_buffer_t*, unsigned int, unsigned int)::L200-249",2,0
harfbuzz,9563,9563,RBRB,"/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc::_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)::L100-149",1,1
harfbuzz,8853,8853,-BBR,"/src/harfbuzz/src/OT/glyf/glyf.hh::bool OT::glyf_accelerator_t::get_points<OT::glyf_accelerator_t::points_aggregator_t>(hb_font_t*, unsigned int, OT::glyf_accelerator_t::points_aggregator_t) const::L150-199",1,1
harfbuzz,9023,9023,-BBR,"/src/harfbuzz/src/hb-ot-font.cc::hb-ot-font.cc:hb_ot_get_glyph_v_origin(hb_font_t*, void*, unsigned int, int*, int*, void*)::L300-349",2,1
harfbuzz,10710,9023,-BBR,"/src/harfbuzz/src/hb-ot-font.cc::hb-ot-font.cc:hb_ot_get_glyph_v_origin(hb_font_t*, void*, unsigned int, int*, int*, void*)::L300-349",2,0
harfbuzz,9025,9025,-BBR,"/src/harfbuzz/src/hb-ot-font.cc::hb-ot-font.cc:hb_ot_get_glyph_extents(hb_font_t*, void*, unsigned int, hb_glyph_extents_t*, void*)::L350-399",1,1
harfbuzz,9515,9515,RB-R,/src/harfbuzz/src/hb-ot-shaper-use-machine.hh::hb-ot-shaper-use.cc:find_syllables_use(hb_buffer_t*)::L1000-1049,1,1
harfbuzz,9654,9654,RB-R,"/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc::_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)::L400-449",1,1
harfbuzz,9706,9706,RB-R,/src/harfbuzz/src/hb-ot-shaper.hh::hb-ot-shape-normalize.cc:hb_ot_shaper_categorize(hb_ot_shape_planner_t const*)::L300-349,1,1
harfbuzz,8918,8918,RBRB,/src/harfbuzz/src/hb-common.cc::hb_script_get_horizontal_direction::L600-649,1,1
harfbuzz,8813,8813,--BR,/src/harfbuzz/src/OT/Color/CPAL/CPAL.hh::OT::CPAL::v1() const::L150-199,1,1
harfbuzz,8815,8815,--BR,"/src/harfbuzz/src/OT/Color/sbix/sbix.hh::OT::sbix::accelerator_t::get_png_extents(hb_font_t*, unsigned int, hb_glyph_extents_t*, bool) const::L300-349",1,1
harfbuzz,8982,8982,--BR,"/src/harfbuzz/src/hb-open-type.hh::bool OT::UnsizedArrayOf<AAT::FeatureName>::sanitize<AAT::feat const*>(hb_sanitize_context_t*, unsigned int, AAT::feat const*&&) const::L500-549",1,1
harfbuzz,9021,9021,--BR,/src/harfbuzz/src/hb-ot-color.cc::hb_ot_color_has_png::L300-349,1,1
harfbuzz,9022,9022,--BR,/src/harfbuzz/src/hb-ot-color.cc::hb_ot_color_glyph_reference_png::L350-399,1,1
harfbuzz,9061,9061,--BR,/src/harfbuzz/src/hb-ot-layout-common.hh::OT::LangSys::get_required_feature_index() const::L950-999,1,1
harfbuzz,9067,9067,--BR,/src/harfbuzz/src/hb-ot-layout-common.hh::OT::ClassDef::get_class(unsigned int) const::L2000-2049,1,1
harfbuzz,9136,9136,--BR,"/src/harfbuzz/src/hb-ot-map.cc::hb_ot_map_builder_t::compile(hb_ot_map_t&, hb_ot_shape_plan_key_t const&)::L300-349",1,1
harfbuzz,9251,9251,--BR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)::L200-249",2,1
harfbuzz,9250,9251,--BR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)::L200-249",2,0
harfbuzz,9256,9256,--BR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_plan_t::position(hb_font_t*, hb_buffer_t*) const::L250-299",1,1
harfbuzz,9356,9356,RB--,"/src/harfbuzz/src/hb-ot-shaper-indic.cc::hb-ot-shaper-indic.cc:initial_reordering_consonant_syllable(hb_ot_shape_plan_t const*, hb_face_t*, hb_buffer_t*, unsigned int, unsigned int)::L500-549",1,1
harfbuzz,9361,9361,RB--,"/src/harfbuzz/src/hb-ot-shaper-indic.cc::hb-ot-shaper-indic.cc:initial_reordering_consonant_syllable(hb_ot_shape_plan_t const*, hb_face_t*, hb_buffer_t*, unsigned int, unsigned int)::L550-599",1,1
harfbuzz,9459,9459,--RB,/src/harfbuzz/src/hb-ot-shaper-myanmar-machine.hh::find_syllables_myanmar(hb_buffer_t*)::L500-549,1,1
harfbuzz,9523,9523,RB--,"/src/harfbuzz/src/hb-ot-shaper-use.cc::hb-ot-shaper-use.cc:reorder_syllable_use(hb_buffer_t*, unsigned int, unsigned int)::L350-399",1,1
harfbuzz,8925,8925,--RB,/src/harfbuzz/src/hb-common.cc::hb_script_get_horizontal_direction::L600-649,3,1
harfbuzz,8931,8925,--RB,/src/harfbuzz/src/hb-common.cc::hb_script_get_horizontal_direction::L600-649,3,0
harfbuzz,8932,8925,--RB,/src/harfbuzz/src/hb-common.cc::hb_script_get_horizontal_direction::L600-649,3,0
harfbuzz,8974,8974,--BR,"/src/harfbuzz/src/hb-open-file.hh::OT::OpenTypeFontFile::get_face(unsigned int, unsigned int*) const::L450-499",1,1
harfbuzz,9064,9064,--BR,/src/harfbuzz/src/hb-ot-layout-common.hh::OT::ClassDef::get_class(unsigned int) const::L1950-1999,1,1
harfbuzz,9126,9126,BR--,/src/harfbuzz/src/hb-ot-layout.cc::hb_ot_layout_table_select_script::L550-599,1,1
harfbuzz,9213,9213,--BR,"/src/harfbuzz/src/hb-ot-shape-fallback.cc::hb-ot-shape-fallback.cc:position_around_base(hb_ot_shape_plan_t const*, hb_font_t*, hb_buffer_t*, unsigned int, unsigned int, bool)::L300-349",1,1
harfbuzz,9228,9228,--BR,"/src/harfbuzz/src/hb-ot-shape.cc::hb-ot-shape.cc:_hb_apply_morx(hb_face_t*, hb_segment_properties_t const&)::L50-99",1,1
harfbuzz,9229,9229,--BR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::hb_ot_shape_planner_t(hb_face_t*, hb_segment_properties_t const&)::L50-99",1,1
harfbuzz,9232,9232,--BR,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_planner_t::compile(hb_ot_shape_plan_t&, hb_ot_shape_plan_key_t const&)::L150-199",1,1
harfbuzz,9255,9255,BR--,"/src/harfbuzz/src/hb-ot-shape.cc::hb_ot_shape_plan_t::position(hb_font_t*, hb_buffer_t*) const::L250-299",1,1
harfbuzz,9263,9263,--BR,/src/harfbuzz/src/hb-ot-shape.cc::hb-ot-shape.cc:hb_ot_substitute_pre(hb_ot_shape_context_t const*)::L900-949,1,1
harfbuzz,9264,9264,--BR,/src/harfbuzz/src/hb-ot-shape.cc::hb-ot-shape.cc:hb_ot_substitute_post(hb_ot_shape_context_t const*)::L900-949,1,1
harfbuzz,9269,9269,--BR,/src/harfbuzz/src/hb-ot-shape.cc::hb-ot-shape.cc:hb_ot_position_plan(hb_ot_shape_context_t const*)::L1050-1099,1,1
harfbuzz,9315,9315,--RB,"/src/harfbuzz/src/hb-ot-shaper-hebrew.cc::hb-ot-shaper-hebrew.cc:compose_hebrew(hb_ot_shape_normalize_context_t const*, unsigned int, unsigned int, unsigned int*)::L100-149",1,1
harfbuzz,9363,9363,RB--,"/src/harfbuzz/src/hb-ot-shaper-indic.cc::hb-ot-shaper-indic.cc:initial_reordering_consonant_syllable(hb_ot_shape_plan_t const*, hb_face_t*, hb_buffer_t*, unsigned int, unsigned int)::L600-649",1,1
harfbuzz,9378,9378,RB--,"/src/harfbuzz/src/hb-ot-shaper-indic.cc::hb-ot-shaper-indic.cc:initial_reordering_consonant_syllable(hb_ot_shape_plan_t const*, hb_face_t*, hb_buffer_t*, unsigned int, unsigned int)::L800-849",1,1
harfbuzz,9421,9421,RB--,"/src/harfbuzz/src/hb-ot-shaper-indic.cc::hb-ot-shaper-indic.cc:final_reordering_syllable_indic(hb_ot_shape_plan_t const*, hb_buffer_t*, unsigned int, unsigned int)::L1200-1249",1,1
harfbuzz,10156,10156,B-R-,"/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc::_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)::L300-349",1,1
harfbuzz,9487,9487,RB--,/src/harfbuzz/src/hb-ot-shaper-thai.cc::hb-ot-shaper-thai.cc:get_consonant_type(unsigned int)::L50-99,1,1
harfbuzz,8805,8805,--BR,"/src/harfbuzz/src/OT/Color/COLR/COLR.hh::OT::COLR::get_extents(hb_font_t*, unsigned int, hb_glyph_extents_t*) const::L1950-1999",1,1
harfbuzz,8890,8890,BR--,/src/harfbuzz/src/hb-blob.cc::hb_blob_create_or_fail::L100-149,1,1
harfbuzz,9024,9024,--BR,"/src/harfbuzz/src/hb-ot-font.cc::hb-ot-font.cc:hb_ot_get_glyph_extents(hb_font_t*, void*, unsigned int, hb_glyph_extents_t*, void*)::L350-399",1,1
harfbuzz,9026,9026,--BR,"/src/harfbuzz/src/hb-ot-font.cc::hb-ot-font.cc:hb_ot_get_glyph_name(hb_font_t*, void*, unsigned int, char*, unsigned int, void*)::L400-449",1,1
harfbuzz,9073,9073,--BR,"/src/harfbuzz/src/hb-ot-layout-common.hh::OT::FeatureVariations::find_index(int const*, unsigned int, unsigned int*) const::L3250-3299",1,1
harfbuzz,9083,9083,BR--,"/src/harfbuzz/src/hb-ot-layout-common.hh::OT::Device::get_y_delta(hb_font_t*, OT::VariationStore const&, float*) const::L3550-3599",1,1
harfbuzz,9087,9087,BR--,"/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::hb_ot_apply_context_t::skipping_iterator_t::init(OT::hb_ot_apply_context_t*, bool)::L450-499",1,1
harfbuzz,9098,9098,BR--,"/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::hb_ot_apply_context_t::hb_ot_apply_context_t(unsigned int, hb_font_t*, hb_buffer_t*)::L700-749",1,1
