target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,max_prob_div,max_dur_div,max_hit_div,shape,region_id,group_size
libpng,7242,/src/libpng/png.c,OSS_FUZZ_png_muldiv,3355,21,T,      if (a == 0 || times == 0),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":8.7,""hit_div"":5.1},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":9.8,""hit_div"":46.9}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",1,9,0,9,1,0,2,8,0,10,0,0,0.8,9.8,46.9,BRBR,/src/libpng/png.c::OSS_FUZZ_png_muldiv::L3350-3399,1
libpng,7245,/src/libpng/pngmem.c,OSS_FUZZ_png_realloc_array,137,8,F,      (old_array == NULL && old_elements > 0)),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":10.8,""hit_div"":35.0},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":8,""prob_div"":0.6,""dur_div"":8.15,""hit_div"":35.2}]","[""cmplog"", ""naive"", ""value_profile""]",2,8,0,10,0,0,8,2,0,10,0,0,0.8,10.8,35.2,BRR-,/src/libpng/pngmem.c::OSS_FUZZ_png_realloc_array::L100-149,1
libpng,7246,/src/libpng/pngmem.c,OSS_FUZZ_png_realloc_array,153,14,T,         if (old_elements > 0),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":10.8,""hit_div"":35.0},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":8,""prob_div"":0.6,""dur_div"":8.15,""hit_div"":35.2}]","[""cmplog"", ""naive"", ""value_profile""]",2,8,0,10,0,0,8,2,0,10,0,0,0.8,10.8,35.2,BRR-,/src/libpng/pngmem.c::OSS_FUZZ_png_realloc_array::L150-199,1
libpng,7472,/src/libpng/pngset.c,OSS_FUZZ_png_set_text_2,888,14,T,         if (text_ptr[i].compression > 0),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":9.75,""hit_div"":16.5},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":11.15,""hit_div"":109.8}]","[""cmplog"", ""naive"", ""value_profile""]",2,8,0,9,1,0,10,0,0,10,0,0,0.8,11.15,109.8,BRR-,/src/libpng/pngset.c::OSS_FUZZ_png_set_text_2::L850-899,1
libpng,7332,/src/libpng/pngrutil.c,OSS_FUZZ_png_handle_sBIT,1216,8,F,   if ((png_ptr->color_type & PNG_COLOR_MASK_COLOR) != 0),2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":9,""prob_div"":0.7,""dur_div"":8.85,""hit_div"":1.0},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":9,""prob_div"":0.7,""dur_div"":8.3,""hit_div"":16.9}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",1,9,0,1,9,0,8,2,0,8,2,0,0.7,8.85,16.9,BBRR,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_sBIT::L1200-1249,1
libpng,7423,/src/libpng/pngrutil.c,OSS_FUZZ_png_handle_iTXt,2748,8,T,   if (buffer == NULL),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":9,""prob_div"":0.7,""dur_div"":6.1,""hit_div"":1.1},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":9,""prob_div"":0.7,""dur_div"":8.4,""hit_div"":1.6}]","[""cmplog"", ""naive"", ""value_profile_cmplog""]",8,2,0,1,9,0,8,2,0,8,2,0,0.7,8.4,1.6,RB-R,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_iTXt::L2700-2749,1
libpng,7431,/src/libpng/pngrutil.c,OSS_FUZZ_png_handle_iTXt,2796,14,F,      for (; prefix_length < length && buffer[prefix_length] != 0;,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":4.5,""hit_div"":5.9},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":8,""prob_div"":0.6,""dur_div"":5.3,""hit_div"":4.5}]","[""cmplog"", ""naive"", ""value_profile""]",2,8,0,9,1,0,8,2,0,10,0,0,0.7,5.3,5.9,BRR-,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_iTXt::L2750-2799,2
libpng,7438,/src/libpng/pngrutil.c,OSS_FUZZ_png_handle_iTXt,2810,16,F,      else if (compressed != 0 && prefix_length < length),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":5.55,""hit_div"":5.9},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":8,""prob_div"":0.6,""dur_div"":5.35,""hit_div"":4.2}]","[""cmplog"", ""naive"", ""value_profile""]",2,8,0,9,1,0,8,2,0,10,0,0,0.7,5.55,5.9,BRR-,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_iTXt::L2800-2849,1
libpng,7397,/src/libpng/pngrutil.c,OSS_FUZZ_png_handle_pCAL,2322,43,F,       (type == PNG_EQUATION_ARBITRARY && nparams != 3) ||,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":8,""prob_div"":0.6,""dur_div"":7.2,""hit_div"":139.2},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":8,""prob_div"":0.6,""dur_div"":6.9,""hit_div"":134.5}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",1,9,0,2,8,0,2,8,0,8,2,0,0.6,7.2,139.2,-BBR,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_pCAL::L2300-2349,1
libpng,7182,/src/libpng/png.c,OSS_FUZZ_png_free_data,507,8,T,   if (((mask & PNG_FREE_TRNS) & info_ptr->free_me) != 0),1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.8,""hit_div"":18.6}]","[""cmplog"", ""naive""]",0,10,0,10,0,0,4,6,0,10,0,0,1.0,11.8,18.6,BR--,/src/libpng/png.c::OSS_FUZZ_png_free_data::L500-549,1
