target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div
libxml2,7459,/src/libxml2/SAX2.c,xmlSAX2StartElementNs,2383,9,T,    if ((URI != NULL) && (ret->ns == NULL)) {,1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":14.4,""hit_div"":8.3}]","[""cmplog"", ""value_profile_cmplog""]",0,10,0,0,10,0,7,3,0,9,1,0,3,7,0,1,9,0,2,8,0,5,5,0,3,7,0,5,5,0,0.9,14.4,8.3
libxml2,8556,/src/libxml2/xmlreader.c,xmlTextReaderRead,1371,2,T,	(reader->node->type == XML_ELEMENT_NODE) &&,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":18.8,""hit_div"":4.5}]","[""cmplog"", ""grimoire""]",0,10,0,0,10,0,2,8,0,1,9,0,1,9,0,,,,,,,1,9,0,0,10,0,9,1,0,0.9,18.8,4.5
libxml2,12282,/src/libxml2/tree.c,xmlFreeNode,3893,9,F,        (cur->type != XML_COMMENT_NODE)),1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":7.1,""hit_div"":15.5}]","[""naive"", ""naive_ctx""]",0,10,0,,,,,,,,,,9,1,0,,,,,,,,,,,,,,,,0.9,7.1,15.5
libxml2,15063,/src/libxml2/parser.c,parser.c:xmlAddDefAttrs,1243,16,T,    } else if (defaults->nbAttrs >= defaults->maxAttrs) {,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":11.6,""hit_div"":75.2}]","[""cmplog"", ""grimoire""]",0,10,0,0,10,0,,,,,,,,,,,,,,,,1,9,0,0,10,0,9,1,0,0.9,11.6,75.2
libxml2,13869,/src/libxml2/dict.c,dict.c:xmlDictComputeBigKey,363,9,T,    if (namelen <= 0 || data == NULL) return(0);,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":8,""prob_div"":0.8889,""dur_div"":8.1,""hit_div"":5.7}]","[""cmplog"", ""grimoire""]",0,10,0,0,8,2,,,,,,,,,,,,,1,9,0,,,,,,,8,1,1,0.8889,8.1,5.7
libxml2,6210,/src/libxml2/SAX2.c,SAX2.c:xmlSAX2AttributeInternal,1261,6,T,	if (val[0] == 0) {,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":13.2,""hit_div"":18.7}]","[""cmplog"", ""grimoire""]",1,9,0,2,8,0,5,5,0,3,7,0,0,10,0,0,9,1,0,8,2,1,9,0,2,6,2,10,0,0,0.8,13.2,18.7
libxml2,6268,/src/libxml2/SAX2.c,SAX2.c:xmlSAX2AttributeNs,2173,13,T,        if ((prefix == ctxt->str_xml) &&,1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":14.1,""hit_div"":21.5}]","[""cmplog"", ""value_profile_cmplog""]",0,10,0,2,8,0,3,7,0,10,0,0,,,,,,,,,,0,10,0,1,9,0,6,4,0,0.8,14.1,21.5
libxml2,6411,/src/libxml2/hash.c,xmlHashUpdateEntry3,684,9,F,    if (table->table[key].valid == 0) {,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":13.3,""hit_div"":75.5}]","[""cmplog"", ""grimoire""]",0,10,0,1,9,0,0,10,0,2,8,0,,,,,,,,,,1,9,0,0,10,0,9,1,0,0.8,13.3,75.5
libxml2,6605,/src/libxml2/parser.c,xmlParsePITarget,5129,30,T,        ((name[1] == 'm') || (name[1] == 'M')) &&,1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""B>A"",""winner"":""naive"",""loser"":""naive_ctx"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":11.3,""hit_div"":5.8}]","[""naive"", ""naive_ctx""]",8,2,0,9,1,0,5,5,0,5,5,0,0,10,0,8,2,0,9,1,0,5,5,0,6,4,0,4,6,0,0.8,11.3,5.8
libxml2,6654,/src/libxml2/parser.c,parser.c:xmlParseElementChildrenContentDeclPriv,6513,26,T,    if ((cur != NULL) && (last != NULL)) {,1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":12.7,""hit_div"":4.2}]","[""cmplog"", ""value_profile_cmplog""]",1,9,0,0,10,0,7,3,0,8,2,0,1,9,0,0,10,0,0,10,0,1,9,0,2,8,0,4,6,0,0.8,12.7,4.2
